Date,Price,Open,High,Low,Volume,Chg%,,,,,,,,
4-Jan-21,47.62,48.4,49.83,47.18,528.53K,-1.85%,,,,,,,,
5-Jan-21,49.93,47.38,50.2,47.24,643.19K,4.85%,,,,,,,,
6-Jan-21,50.63,49.82,50.94,49.48,509.37K,1.40%,,,,,,,,
7-Jan-21,50.83,50.53,51.28,50.39,369.29K,0.40%,,,,,,,,
8-Jan-21,52.24,50.93,52.75,50.81,499.42K,2.77%,,,,,,,,
11-Jan-21,52.25,52.58,52.7,51.5,394.82K,0.02%,,,,,,,,
12-Jan-21,53.21,52.18,53.45,52.07,400.20K,1.84%,,,,,,,,
13-Jan-21,52.91,53.31,53.93,52.58,429.90K,-0.56%,,,,,,,,
14-Jan-21,53.57,52.84,53.75,52.24,390.09K,1.25%,,,,,,,,
15-Jan-21,52.36,53.8,53.83,51.83,165.67K,-2.26%,,,,,,,,
17-Jan-21,52.2,52.09,52.38,52.09,0,-0.31%,,,,,,,,
18-Jan-21,52.36,52.2,52.61,51.83,0,0.31%,,,,,,,,
19-Jan-21,52.98,52,53.13,51.76,125.96K,1.18%,,,,,,,,
20-Jan-21,53.24,53.13,53.79,53.05,37.84K,0.49%,,,,,,,,
21-Jan-21,53.13,52.93,53.41,52.75,352.40K,-0.21%,,,,,,,,
22-Jan-21,52.27,53.1,53.16,51.44,437.48K,-1.62%,,,,,,,,
25-Jan-21,52.77,52.17,52.95,51.82,349.08K,0.96%,,,,,,,,
26-Jan-21,52.61,52.91,53.25,52.29,314.54K,-0.30%,,,,,,,,
27-Jan-21,52.85,52.76,53.3,51.85,442.38K,0.46%,,,,,,,,
28-Jan-21,52.34,52.65,53.58,52.04,411.41K,-0.96%,,,,,,,,
29-Jan-21,52.2,52.15,53.25,51.93,410.91K,-0.27%,,,,,,,,
1-Feb-21,53.55,51.99,53.74,51.64,416.07K,2.59%,,,,,,,,
2-Feb-21,54.76,53.48,55.26,53.45,463.72K,2.26%,,,,,,,,
3-Feb-21,55.69,55.05,56.33,54.81,448.69K,1.70%,,,,,,,,
4-Feb-21,56.23,55.96,56.58,55.3,381.40K,0.97%,,,,,,,,
5-Feb-21,56.85,56.46,57.29,56.43,400.83K,1.10%,,,,,,,,
8-Feb-21,57.97,57.06,58.14,57,399.72K,1.97%,,,,,,,,
9-Feb-21,58.36,58.11,58.62,57.27,514.70K,0.67%,,,,,,,,
10-Feb-21,58.68,58.45,58.91,58.08,457.54K,0.55%,,,,,,,,
11-Feb-21,58.24,58.4,58.71,57.84,380.45K,-0.75%,,,,,,,,
12-Feb-21,59.47,57.94,59.82,57.41,480.82K,2.11%,,,,,,,,
14-Feb-21,60.37,60.01,60.75,60.01,0,1.51%,,,,,,,,
15-Feb-21,60.09,60.36,60.95,59.96,0,-0.46%,,,,,,,,
16-Feb-21,60.05,59.98,60.95,59.33,602.33K,-0.07%,,,,,,,,
17-Feb-21,61.14,60.24,61.73,59.43,335.42K,1.82%,,,,,,,,
18-Feb-21,60.52,61.68,62.26,59.79,132.04K,-1.01%,,,,,,,,
19-Feb-21,59.24,60.2,60.29,58.59,102.43K,-2.12%,,,,,,,,
22-Feb-21,61.49,58.88,61.84,58.82,37.04K,3.80%,,,,,,,,
23-Feb-21,61.67,62.16,63,60.67,570.68K,0.29%,,,,,,,,
24-Feb-21,63.22,61.29,63.51,60.97,489.93K,2.51%,,,,,,,,
25-Feb-21,63.53,63.39,63.81,62.65,510.36K,0.49%,,,,,,,,
26-Feb-21,61.5,63.46,63.57,61.34,472.72K,-3.20%,,,,,,,,
1-Mar-21,60.64,61.95,62.92,59.96,456.68K,-1.40%,,,,,,,,
2-Mar-21,59.75,60.23,61.21,59.38,464.13K,-1.47%,,,,,,,,
3-Mar-21,61.28,59.55,61.99,59.24,465.31K,2.56%,,,,,,,,
4-Mar-21,63.83,61.08,64.86,60.52,694.63K,4.16%,,,,,,,,
5-Mar-21,66.09,64.16,66.42,63.82,573.17K,3.54%,,,,,,,,
8-Mar-21,65.05,66.68,67.98,64.57,533.38K,-1.57%,,,,,,,,
9-Mar-21,64.01,64.73,65.98,63.63,554.56K,-1.60%,,,,,,,,
10-Mar-21,64.44,63.84,64.96,63.13,498.49K,0.67%,,,,,,,,
11-Mar-21,66.02,64.7,66.21,64.54,441.06K,2.45%,,,,,,,,
12-Mar-21,65.61,65.96,66.24,65.41,321.71K,-0.62%,,,,,,,,
15-Mar-21,65.39,65.56,66.4,64.13,378.01K,-0.34%,,,,,,,,
16-Mar-21,64.8,65.33,65.43,63.8,317.54K,-0.90%,,,,,,,,
17-Mar-21,64.6,64.75,65.34,63.6,254.72K,-0.31%,,,,,,,,
18-Mar-21,60,64.42,64.82,58.2,143.60K,-7.12%,,,,,,,,
19-Mar-21,61.42,59.56,61.72,58.94,84.17K,2.37%,,,,,,,,
22-Mar-21,61.55,61.55,61.9,60.39,28.26K,0.21%,,,,,,,,
23-Mar-21,57.76,61.28,61.35,57.25,712.32K,-6.16%,,,,,,,,
24-Mar-21,61.18,57.4,61.34,57.29,566.29K,5.92%,,,,,,,,
25-Mar-21,58.56,60.8,60.86,57.44,580.11K,-4.28%,,,,,,,,
26-Mar-21,60.97,58.48,61.36,58.32,472.00K,4.12%,,,,,,,,
29-Mar-21,61.56,60.93,61.77,59.41,449.36K,0.97%,,,,,,,,
30-Mar-21,60.55,61.96,62.27,59.94,388.19K,-1.64%,,,,,,,,
31-Mar-21,59.16,60.45,61.17,58.85,414.16K,-2.30%,,,,,,,,
1-Apr-21,61.45,59.49,61.75,58.86,605.57K,3.87%,,,,,,,,
5-Apr-21,58.65,61.5,61.5,57.63,438.86K,-4.56%,,,,,,,,
6-Apr-21,59.33,58.8,60.9,58.62,457.35K,1.16%,,,,,,,,
7-Apr-21,59.77,59.26,60.04,58.12,475.54K,0.74%,,,,,,,,
8-Apr-21,59.6,59.52,59.93,58.82,419.91K,-0.28%,,,,,,,,
9-Apr-21,59.32,59.76,59.95,59.1,351.44K,-0.47%,,,,,,,,
12-Apr-21,59.7,59.35,60.77,58.73,410.22K,0.64%,,,,,,,,
13-Apr-21,60.18,59.64,60.59,59.64,349.73K,0.80%,,,,,,,,
14-Apr-21,63.15,60.44,63.44,60.38,419.81K,4.94%,,,,,,,,
15-Apr-21,63.46,62.83,63.57,62.53,243.37K,0.49%,,,,,,,,
16-Apr-21,63.13,63.32,63.88,62.83,87.80K,-0.52%,,,,,,,,
19-Apr-21,63.38,62.98,63.63,62.63,74.38K,0.40%,,,,,,,,
20-Apr-21,62.44,63.47,64.25,61.5,33.04K,-1.48%,,,,,,,,
21-Apr-21,61.35,62.39,62.56,60.86,431.49K,-1.75%,,,,,,,,
22-Apr-21,61.43,61.11,61.87,60.61,344.70K,0.13%,,,,,,,,
23-Apr-21,62.14,61.65,62.43,61.25,345.41K,1.16%,,,,,,,,
26-Apr-21,61.91,62.06,62.31,60.66,366.87K,-0.37%,,,,,,,,
27-Apr-21,62.94,61.97,63.3,61.91,361.54K,1.66%,,,,,,,,
28-Apr-21,63.86,63.04,64.53,62.67,387.68K,1.46%,,,,,,,,
29-Apr-21,65.01,63.7,65.47,63.65,384.49K,1.80%,,,,,,,,
30-Apr-21,63.58,64.88,64.95,63.08,400.52K,-2.20%,,,,,,,,
3-May-21,64.49,63.64,64.68,62.91,285.97K,1.43%,,,,,,,,
4-May-21,65.69,64.53,66.19,64.29,370.21K,1.86%,,,,,,,,
5-May-21,65.63,66.45,66.76,64.92,460.07K,-0.09%,,,,,,,,
6-May-21,64.71,65.27,65.98,64.5,389.21K,-1.40%,,,,,,,,
7-May-21,64.9,64.9,65.24,63.9,431.42K,0.29%,,,,,,,,
10-May-21,64.92,65.57,65.75,63.95,448.34K,0.03%,,,,,,,,
11-May-21,65.28,64.9,65.5,63.68,514.95K,0.55%,,,,,,,,
12-May-21,66.08,65.46,66.63,64.97,508.52K,1.23%,,,,,,,,
13-May-21,63.82,65.75,65.81,63.09,547.69K,-3.42%,,,,,,,,
14-May-21,65.37,63.83,65.62,63.33,383.75K,2.43%,,,,,,,,
17-May-21,66.27,65.5,66.43,64.83,268.48K,1.38%,,,,,,,,
18-May-21,65.49,66.33,67.01,64.11,167.35K,-1.18%,,,,,,,,
19-May-21,63.36,65.28,65.35,61.95,101.90K,-3.25%,,,,,,,,
20-May-21,62.05,63.39,63.96,61.89,29.62K,-2.07%,,,,,,,,
21-May-21,63.58,61.89,64.07,61.56,530.83K,2.47%,,,,,,,,
24-May-21,66.05,63.87,66.14,63.63,466.65K,3.88%,,,,,,,,
25-May-21,66.07,66.02,66.51,65.41,497.39K,0.03%,,,,,,,,
26-May-21,66.21,66.04,66.43,65.25,376.21K,0.21%,,,,,,,,
27-May-21,66.85,66.16,66.92,65.47,337.54K,0.97%,,,,,,,,
28-May-21,66.32,66.95,67.52,66.17,390.46K,-0.79%,,,,,,,,
30-May-21,66.59,66.7,66.75,66.53,0,0.41%,,,,,,,,
31-May-21,66.96,66.58,67.41,66.41,0,0.56%,,,,,,,,
1-Jun-21,67.72,66.68,68.87,66.41,570.99K,1.14%,,,,,,,,
2-Jun-21,68.83,67.99,69,67.78,333.00K,1.64%,,,,,,,,
3-Jun-21,68.81,68.76,69.4,68.19,351.37K,-0.03%,,,,,,,,
4-Jun-21,69.62,68.91,69.76,68.33,326.25K,1.18%,,,,,,,,
7-Jun-21,69.23,69.52,70,68.93,365.62K,-0.56%,,,,,,,,
8-Jun-21,70.05,69.29,70.27,68.47,441.30K,1.18%,,,,,,,,
9-Jun-21,69.96,70.01,70.62,69.46,410.82K,-0.13%,,,,,,,,
10-Jun-21,70.29,69.76,70.65,68.68,492.46K,0.47%,,,,,,,,
11-Jun-21,70.91,70.1,71.24,69.68,563.58K,0.88%,,,,,,,,
14-Jun-21,70.88,70.65,71.78,70.65,319.64K,-0.04%,,,,,,,,
15-Jun-21,72.12,71.16,72.49,70.81,336.04K,1.75%,,,,,,,,
16-Jun-21,72.15,72.45,72.99,71.61,426.78K,0.04%,,,,,,,,
17-Jun-21,71.04,71.65,72.3,69.77,373.78K,-1.54%,,,,,,,,
18-Jun-21,71.64,71.1,72.17,70.16,139.58K,0.84%,,,,,,,,
21-Jun-21,73.66,71.52,73.96,71.15,123.66K,2.82%,,,,,,,,
22-Jun-21,73.06,73.41,73.95,72.94,29.00K,-0.81%,,,,,,,,
23-Jun-21,73.08,72.91,74.25,72.82,429.21K,0.03%,,,,,,,,
24-Jun-21,73.3,73.28,73.61,72.32,334.83K,0.30%,,,,,,,,
25-Jun-21,74.05,73.32,74.18,72.85,364.72K,1.02%,,,,,,,,
28-Jun-21,72.91,73.99,74.45,72.62,354.70K,-1.54%,,,,,,,,
29-Jun-21,72.98,72.78,73.81,71.97,321.45K,0.10%,,,,,,,,
30-Jun-21,73.47,73.47,74.14,72.82,383.63K,0.67%,,,,,,,,
1-Jul-21,75.23,73.5,76.22,73.39,615.68K,2.40%,,,,,,,,
2-Jul-21,75.16,75.02,75.62,74.41,377.53K,-0.09%,,,,,,,,
4-Jul-21,75.14,75.22,75.28,75,0,-0.03%,,,,,,,,
5-Jul-21,76.25,75.15,76.4,74.75,0,1.48%,,,,,,,,
6-Jul-21,73.37,75.35,76.98,72.94,714.04K,-3.78%,,,,,,,,
7-Jul-21,72.2,73.85,74.86,71.07,607.97K,-1.59%,,,,,,,,
8-Jul-21,72.94,72.17,73.26,70.76,529.69K,1.02%,,,,,,,,
9-Jul-21,74.56,73.26,74.76,72.72,422.15K,2.22%,,,,,,,,
12-Jul-21,74.1,74.74,74.93,73.16,397.93K,-0.62%,,,,,,,,
13-Jul-21,75.25,74.18,75.52,73.68,444.08K,1.55%,,,,,,,,
14-Jul-21,73.13,75.17,75.44,72.21,528.36K,-2.82%,,,,,,,,
15-Jul-21,71.65,72.96,72.96,71.4,368.68K,-2.02%,,,,,,,,
16-Jul-21,71.81,71.48,72.3,70.41,133.93K,0.22%,,,,,,,,
19-Jul-21,66.42,71.49,71.67,65.63,82.57K,-7.51%,,,,,,,,
20-Jul-21,67.42,66.6,67.65,65.21,29.74K,1.51%,,,,,,,,
21-Jul-21,70.3,66.45,70.51,66.44,503.03K,4.27%,,,,,,,,
22-Jul-21,71.91,70.22,72.03,69.86,435.18K,2.29%,,,,,,,,
23-Jul-21,72.07,71.71,72.21,71.39,274.78K,0.22%,,,,,,,,
26-Jul-21,71.91,72.18,72.43,70.56,395.74K,-0.22%,,,,,,,,
